5th,4th,3rd,2nd,1st,time,idealPitch
37.83194915381378,30.812399145159908,30.812399145159908,38.23931713689383,38.23931713689383,0,38
38.23931713689383,30.812399145159908,30.812399145159908,37.83194915381378,37.83194915381378,0.1,38
18.823215978058293,30.823215978058293,30.823215978058293,37.84276598671217,37.84276598671217,0.2,38
18.823215978058293,30.823215978058293,30.823215978058293,37.84276598671217,37.84276598671217,0.30000000000000004,38
18.823215978058293,30.823215978058293,30.823215978058293,37.84276598671217,37.84276598671217,0.4,38
18.823215978058293,31.43072885489791,31.43072885489791,38.25013396979222,38.25013396979222,0.5,38
18.812399145159908,31.419912021999522,31.419912021999522,38.23931713689383,38.23931713689383,0.6,38
18.823215978058293,31.43072885489791,31.43072885489791,38.25013396979222,38.25013396979222,0.7,38
30.823215978058293,31.43072885489791,31.43072885489791,38.25013396979222,38.25013396979222,0.7999999999999999,38
31.43072885489791,30.823215978058293,30.823215978058293,38.25013396979222,38.25013396979222,0.8999999999999999,38
18.823215978058293,30.823215978058293,30.823215978058293,38.25013396979222,38.25013396979222,0.9999999999999999,38
30.812399145159908,31.419912021999522,31.419912021999522,38.23931713689383,38.23931713689383,1.0999999999999999,38
18.823215978058293,30.823215978058293,30.823215978058293,38.25013396979222,38.25013396979222,1.2,38
18.823215978058293,37.84276598671217,37.84276598671217,30.823215978058293,30.823215978058293,1.3,38
30.790785733500417,18.790785733500414,18.790785733500414,38.21770372523434,38.21770372523434,1.4000000000000001,38
18.823215978058293,30.823215978058293,30.823215978058293,38.25013396979222,38.25013396979222,1.5000000000000002,38
18.812399145159908,30.812399145159908,30.812399145159908,38.23931713689383,38.23931713689383,1.6000000000000003,38
37.84276598671217,38.25013396979222,38.25013396979222,30.823215978058293,30.823215978058293,1.7000000000000004,38
18.823215978058293,37.84276598671217,37.84276598671217,30.823215978058293,30.823215978058293,1.8000000000000005,38
38.25013396979222,37.84276598671217,37.84276598671217,30.823215978058293,30.823215978058293,1.9000000000000006,38
38.615706092456726,19.985213816111386,19.985213816111386,31.398298610340028,31.398298610340028,2.0000000000000004,40
40.51147504274954,33.66768634566849,33.66768634566849,40.86123119066374,40.86123119066374,2.1000000000000005,40
33.13495691336704,21.134956913367045,21.134956913367045,40.15450692202093,40.15450692202093,2.2000000000000006,40
32.58531263800955,21.134956913367045,21.134956913367045,39.79002313349869,39.79002313349869,2.3000000000000007,40
33.13495691336704,21.134956913367045,21.134956913367045,39.79002313349869,39.79002313349869,2.400000000000001,40
21.102526668809162,40.122076677463035,40.122076677463035,39.757592888940806,39.757592888940806,2.500000000000001,40
33.13495691336704,21.134956913367045,21.134956913367045,40.15450692202093,40.15450692202093,2.600000000000001,40
21.134956913367045,33.13495691336704,33.13495691336704,40.15450692202093,40.15450692202093,2.700000000000001,40
21.134956913367045,33.13495691336704,33.13495691336704,40.15450692202093,40.15450692202093,2.800000000000001,40
21.134956913367045,33.13495691336704,33.13495691336704,40.15450692202093,40.15450692202093,2.9000000000000012,40
21.102526668809162,33.10252666880916,33.10252666880916,40.122076677463035,40.122076677463035,3.0000000000000013,40
21.134956913367045,33.13495691336704,33.13495691336704,40.15450692202093,40.15450692202093,3.1000000000000014,40
21.134956913367045,39.79002313349869,39.79002313349869,40.15450692202093,40.15450692202093,3.2000000000000015,40
21.134956913367045,40.15450692202093,40.15450692202093,39.79002313349869,39.79002313349869,3.3000000000000016,40
32.58531263800955,21.134956913367045,21.134956913367045,39.79002313349869,39.79002313349869,3.4000000000000017,40
21.102526668809162,40.122076677463035,40.122076677463035,39.757592888940806,39.757592888940806,3.5000000000000018,40
40.15450692202093,21.134956913367045,21.134956913367045,39.79002313349869,39.79002313349869,3.600000000000002,40
32.58531263800955,21.134956913367045,21.134956913367045,39.79002313349869,39.79002313349869,3.700000000000002,40
33.13495691336704,21.134956913367045,21.134956913367045,39.79002313349869,39.79002313349869,3.800000000000002,40
21.134956913367045,40.15450692202093,40.15450692202093,39.79002313349869,39.79002313349869,3.900000000000002,40
33.124140080468656,39.77920630060031,39.77920630060031,21.124140080468656,21.124140080468656,4.000000000000002,42
34.68635311670664,22.18451100837112,22.18451100837112,23.174056930674798,23.174056930674798,4.100000000000001,42
35.648397300914446,24.110087074690075,24.110087074690075,23.174056930674798,23.174056930674798,4.200000000000001,42
35.16324009777641,35.63758046801606,35.63758046801606,23.163240097776406,23.163240097776406,4.300000000000001,42
35.174056930674794,35.648397300914446,35.648397300914446,23.174056930674798,23.174056930674798,4.4,42
35.16324009777641,35.63758046801606,35.63758046801606,23.163240097776406,23.163240097776406,4.5,42
35.648397300914446,35.174056930674794,35.174056930674794,23.174056930674798,23.174056930674798,4.6,42
35.648397300914446,35.174056930674794,35.174056930674794,23.174056930674798,23.174056930674798,4.699999999999999,42
42.182790106430275,23.163240097776406,23.163240097776406,35.16324009777641,35.16324009777641,4.799999999999999,42
35.648397300914446,23.174056930674798,23.174056930674798,35.174056930674794,35.174056930674794,4.899999999999999,42
35.63758046801606,35.16324009777641,35.16324009777641,23.163240097776406,23.163240097776406,4.999999999999998,42
34.68635311670664,23.174056930674798,23.174056930674798,35.174056930674794,35.174056930674794,5.099999999999998,42
34.68635311670664,23.174056930674798,23.174056930674798,35.174056930674794,35.174056930674794,5.1999999999999975,42
-1,23.163240097776406,23.163240097776406,35.16324009777641,35.16324009777641,5.299999999999997,42
34.68635311670664,23.174056930674798,23.174056930674798,35.174056930674794,35.174056930674794,5.399999999999997,42
34.675536283808256,23.163240097776406,23.163240097776406,35.16324009777641,35.16324009777641,5.4999999999999964,42
34.68635311670664,23.174056930674798,23.174056930674798,35.174056930674794,35.174056930674794,5.599999999999996,42
42.19360693932866,23.174056930674798,23.174056930674798,35.174056930674794,35.174056930674794,5.699999999999996,42
42.182790106430275,23.163240097776406,23.163240097776406,35.16324009777641,35.16324009777641,5.799999999999995,42
23.174056930674798,35.648397300914446,35.648397300914446,35.174056930674794,35.174056930674794,5.899999999999995,42
22.173694175472733,24.09927024179169,24.09927024179169,23.163240097776406,23.163240097776406,5.999999999999995,42
24.110087074690075,36.11008707469007,36.11008707469007,43.12963708334395,43.12963708334395,6.099999999999994,43
24.110087074690075,42.82321597805829,42.82321597805829,43.12963708334395,43.12963708334395,6.199999999999994,43
24.09927024179169,36.099270241791686,36.099270241791686,43.11882025044556,43.11882025044556,6.299999999999994,43
36.11008707469007,42.82321597805829,42.82321597805829,43.12963708334395,43.12963708334395,6.399999999999993,43
